               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029428,            0.010929,                   0,             0.93538,             0.88636,             0.95283,             0.55067,            0.020828,           0.0059225,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.030124,            0.010972,                   0,             0.89144,             0.93312,              0.9566,             0.53682,            0.020651,           0.0062685,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.030715,            0.011657,                   0,             0.91521,             0.79545,             0.90701,             0.56879,            0.019832,           0.0061244,                   0,            0.007426,            0.007426,            0.007426
                  41,             0.03074,            0.011251,                   0,             0.88615,             0.79545,             0.88237,             0.52668,            0.021229,           0.0061288,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.030307,            0.011395,                   0,             0.93186,             0.79545,             0.91212,             0.55672,            0.020051,           0.0062104,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.030632,            0.010928,                   0,             0.96137,             0.93182,             0.96512,             0.62536,            0.018792,           0.0054909,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.028039,            0.010154,                   0,             0.96676,             0.86364,             0.94758,             0.63545,            0.018554,           0.0054474,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.029725,             0.01055,                   0,             0.90495,             0.86556,             0.93751,             0.61377,            0.019297,           0.0059852,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.028339,           0.0098817,                   0,             0.90901,             0.88636,              0.9457,             0.60262,            0.021178,           0.0054657,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.027899,            0.010372,                   0,              0.9193,             0.84091,             0.94599,              0.6111,            0.018948,           0.0060018,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.027647,            0.010902,                   0,             0.95337,             0.95455,             0.97725,             0.64012,            0.018673,           0.0056774,                   0,            0.006898,            0.006898,            0.006898
