               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024263,            0.012417,                   0,             0.94922,             0.93182,             0.96694,             0.56887,            0.022277,           0.0081354,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.024372,            0.012444,                   0,                   1,             0.91541,             0.97478,             0.62097,            0.019336,           0.0069259,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.024254,            0.012173,                   0,             0.98957,             0.93182,             0.97526,             0.63983,            0.019104,           0.0077247,                   0,            0.007426,            0.007426,            0.007426
                  41,             0.02375,             0.01212,                   0,             0.99702,             0.93182,             0.97378,             0.58207,            0.020101,           0.0078278,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.023997,            0.011944,                   0,             0.99964,             0.95455,             0.97646,             0.62311,            0.017276,           0.0063251,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.023691,            0.011996,                   0,             0.96866,             0.93182,             0.97094,             0.62007,            0.017597,           0.0066576,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.023654,             0.01177,                   0,             0.95251,             0.93182,             0.97075,              0.5796,            0.020869,           0.0075026,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.023271,            0.011832,                   0,             0.97292,             0.97727,             0.98515,             0.59934,            0.020208,           0.0075302,                   0,            0.007096,            0.007096,            0.007096
                  46,             0.02367,            0.011696,                   0,              0.9959,             0.97727,             0.97886,             0.59322,             0.02004,            0.007235,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.023032,            0.011904,                   0,              0.9979,             0.95455,             0.97739,             0.64382,            0.018996,             0.00627,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.022747,             0.01169,                   0,             0.99297,             0.95455,             0.97781,             0.61477,            0.019582,           0.0070877,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.023096,            0.011745,                   0,             0.99353,             0.95455,              0.9777,             0.60977,            0.019999,           0.0082576,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.022615,            0.011623,                   0,                   1,             0.94998,             0.97634,             0.55555,            0.020949,           0.0091791,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.022727,            0.011592,                   0,             0.99716,             0.93182,             0.96961,             0.57093,            0.020565,           0.0085553,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.022578,            0.011392,                   0,             0.97664,             0.95009,             0.97524,             0.61178,            0.018973,           0.0074161,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.022518,            0.011366,                   0,             0.97607,             0.92728,             0.96483,             0.63312,            0.018855,           0.0071682,                   0,            0.006568,            0.006568,            0.006568
